"ANIO","CodDane","TOTAL Terminales MinTIC","PC entregados MinTIC","Tabletas MinTIC Estudiantes","Tabletas MinTIC Docentes","PC MinTIC Docentes","Retoma de PC","Docentes Formados","Padres Capacitados","Tabletas aportadas por ET","PC aportados por ET","FECHA_CORTE","Inversión","Niños por terminal municipal","Niños por terminal departamental","DEPARTAMENTO","Meta Terminales entregadas Mintic","Meta Docentes Formados","Meta Padres Capacitados","Meta Retoma de PC","VIGENCIA","Demanufactura (toneladas)","meta Demanufactura","docentes acompañados","Meta docentes acompañados","Sedes beneficiadas"
"2020","15837",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","2,00","5,00","BOYACA","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","41551",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","3,00","3,00","HUILA","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","15667",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","6,00","5,00","BOYACA","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","05649",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","2,00","4,49","ANTIOQUIA","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","15531",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","1,00","5,00","BOYACA","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","27077",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","6,00","6,00","CHOCO","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","18029",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","4,00","5,51","CAQUETA","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","23500",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","2,00","4,00","CORDOBA","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","05585",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","2,00","4,49","ANTIOQUIA","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","76828",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","3,00","2,92","VALLE DEL CAUCA","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","50370",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","3,00","4,00","META","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","73585",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","4,00","3,00","TOLIMA","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","05809",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","3,00","4,49","ANTIOQUIA","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","85139",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","3,00","3,60","CASANARE","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","23419",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","2,00","4,00","CORDOBA","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","85430",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","4,00","3,60","CASANARE","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","13006",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","5,00","6,77","BOLIVAR","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","05425",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","2,00","4,49","ANTIOQUIA","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
"2020","41770",,"0","0","0","0","0","0",",00","0","0","2020-10-31",",00","2,00","3,00","HUILA","77427,00","5000,00",",00","15000,00","2020-12-31","3,55","190,00",",00","5000,00",",00"
